FECHA (YYMMDD);HORA (HHMM);Humedad Relativa (%);
241223;1800;39,12;
241223;1900;45,5225;
241223;2000;48,66;
241223;2100;54,765;
241223;2200;43,735;
241223;2300;42,2;
241224;0000;42,3175;
241224;0100;44,215;
241224;0200;47,725;
241224;0300;53,815;
241224;0400;53,135;
241224;0500;56,1;
241224;0600;52,2475;
241224;0700;46,91;
241224;0800;38,22;
241224;0900;32,3925;
241224;1000;26,2725;
241224;1100;20,8625;
241224;1200;14,935;
241224;1300;20,535;
241224;1400;23,31;
241224;1500;23,215;
241224;1600;22,865;
241224;1700;30,35;
241224;1800;33,8175;
241224;1900;40,575;
241224;2000;56,5575;
241224;2100;63,37;
241224;2200;67,1825;
241224;2300;72,54;
241225;0000;77,1901;
241225;0100;80,0375;
241225;0200;83,275;
241225;0300;87,8;
241225;0400;89,9;
241225;0500;90,05;
241225;0600;84,05;
241225;0700;79,3199;
241225;0800;73,2875;
241225;0900;70,5875;
241225;1000;67,25;
241225;1100;65,4449;
241225;1200;63,4225;
241225;1300;60,42;
241225;1400;57,5425;
241225;1500;56,385;
241225;1600;61,9725;
241225;1700;64,2175;
241225;1800;74,6176;
241225;1900;87,025;
241225;2000;90,475;
241225;2100;92,925;
241225;2200;93,25;
241225;2300;91,525;
241226;0000;92,525;
241226;0100;93,425;
241226;0200;96,55;
241226;0300;99,4;
241226;0400;92,7;
241226;0500;88,675;
241226;0600;88,45;
241226;0700;85,775;
241226;0800;83,1;
241226;0900;86,125;
241226;1000;83,325;
241226;1100;78,5425;
241226;1200;72,3125;
241226;1300;63,9825;
241226;1400;62,35;
241226;1500;60,1675;
241226;1600;61,47;
241226;1700;61,5425;
241226;1800;67,1725;
241226;1900;77,4825;
241226;2000;85,05;
241226;2100;86,85;
241226;2200;88,075;
241226;2300;85,55;
241227;0000;83,775;
241227;0100;84,35;
241227;0200;86,775;
241227;0300;88,025;
241227;0400;89,8;
241227;0500;89,775;
241227;0600;89,2;
241227;0700;86,675;
241227;0800;80,1425;
241227;0900;74,9301;
241227;1000;70,55;
241227;1100;67,635;
241227;1200;65,79;
241227;1300;65,295;
241227;1400;63,01;
241227;1500;65,7574;
241227;1600;71,1276;
241227;1700;76,6276;
241227;1800;84,325;
241227;1900;89;
241227;2000;90,7;
241227;2100;91;
241227;2200;90,65;
241227;2300;91,35;
241228;0000;92,65;
241228;0100;93,075;
241228;0200;93,5;
241228;0300;94,475;
241228;0400;92,725;
241228;0500;93,6;
241228;0600;93,825;
241228;0700;92,675;
241228;0800;90,4;
241228;0900;81,34;
241228;1000;75,255;
241228;1100;71,225;
241228;1200;68,0675;
241228;1300;66,7574;
241228;1400;70,235;
241228;1500;69,54;
241228;1600;67,91;
241228;1700;74,655;
241228;1800;75,5475;
241228;1900;78,1176;
241228;2000;86,125;
241228;2100;89,825;
241228;2200;91,275;
241228;2300;92,375;
241229;0000;92,3;
241229;0100;91,85;
241229;0200;91,925;
241229;0300;92,425;
241229;0400;93,125;
241229;0500;95,1;
241229;0600;95,75;
241229;0700;95,8;
241229;0800;92,125;
241229;0900;80,24;
241229;1000;69,91;
241229;1100;60,5625;
241229;1200;52,995;
241229;1300;49,9225;
241229;1400;48,935;
241229;1500;51,4525;
241229;1600;54,4625;
241229;1700;54,8075;
241229;1800;55,2625;
241229;1900;57,4225;
241229;2000;59,05;
241229;2100;60,0825;
241229;2200;67,6226;
241229;2300;78,5225;
241230;0000;82,15;
241230;0100;83,6;
241230;0200;84,525;
241230;0300;89,425;
241230;0400;90,85;
241230;0500;92,35;
241230;0600;88,625;
241230;0700;79,5925;
241230;0800;70,58;
241230;0900;52,205;
241230;1000;44,615;
241230;1100;36,815;
241230;1200;33,855;
241230;1300;42,8675;
241230;1400;44,865;
241230;1500;51,3375;
241230;1600;59,6325;
241230;1700;62,53;
241230;1800;64,7225;
241230;1900;64,6475;
241230;2000;72,8824;
241230;2100;74,7125;
241230;2200;79,5425;
241230;2300;80,85;
241231;0000;85,05;
241231;0100;87,2;
241231;0200;87,825;
241231;0300;81,925;
241231;0400;81,55;
241231;0500;76,26;
241231;0600;62,69;
241231;0700;47,84;
241231;0800;39,64;
241231;0900;30,905;
241231;1000;27,935;
241231;1100;24,825;
241231;1200;25,0875;
241231;1300;28,9575;
241231;1400;32,7075;
241231;1500;33,5275;
241231;1600;34,91;
241231;1700;38,2475;
241231;1800;37,805;
241231;1900;42,205;
241231;2000;49,1775;
241231;2100;52,91;
241231;2200;60,8025;
241231;2300;67,5725;
250101;0000;58,6267;
250101;0100;56,5325;
250101;0200;63,49;
250101;0300;67,28;
250101;0400;79,5875;
250101;0500;83,15;
250101;0600;75,78;
250101;0700;63,5125;
250101;0800;53,485;
250101;0900;43,87;
250101;1000;34,43;
250101;1100;25,9275;
250101;1200;23,1075;
250101;1300;26,36;
250101;1400;31,585;
250101;1500;33,075;
250101;1600;35,4775;
250101;1700;35,84;
250101;1800;36,11;
250101;1900;43,285;
250101;2000;52,0367;
250101;2100;58,1825;
250101;2200;66,455;
250101;2300;55,33;
250102;0000;55,1775;
250102;0100;61,0925;
250102;0200;60,8575;
250102;0300;71,605;
250102;0400;68,3325;
250102;0500;74,8125;
250102;0600;71,6775;
250102;0700;56,97;
250102;0800;44,95;
250102;0900;32,6325;
250102;1000;31,1825;
250102;1100;25,675;
250102;1200;33,6975;
250102;1300;28,935;
250102;1400;27,7075;
250102;1500;29,9;
250102;1600;30,6625;
250102;1700;30,48;
250102;1800;31,655;
250102;1900;36,26;
250102;2000;45,4675;
250102;2100;56,4575;
250102;2200;61,605;
250102;2300;70,5825;
250103;0000;79,0225;
250103;0100;80,9725;
250103;0200;80,6725;
250103;0300;76,825;
250103;0400;79,0699;
250103;0500;82,475;
250103;0600;78,6901;
250103;0700;66,0026;
250103;0800;63,4225;
250103;0900;52,5625;
250103;1000;52,3825;
250103;1100;49,805;
250103;1200;49,485;
250103;1300;49,7375;
250103;1400;51,1375;
250103;1500;51,6425;
250103;1600;52,8225;
250103;1700;56,385;
250103;1800;64,125;
250103;1900;76,2725;
250103;2000;89,275;
250103;2100;93,325;
250103;2200;94,35;
250103;2300;94,7;
250104;0000;96,75;
250104;0100;100;
250104;0200;100;
250104;0300;100;
250104;0400;100;
250104;0500;100;
250104;0600;100;
250104;0700;99,8;
250104;0800;95,825;
250104;0900;86,4976;
250104;1000;72,2225;
250104;1100;67,1775;
250104;1200;65,3225;
250104;1300;63,8575;
250104;1400;68,0551;
250104;1500;68,4425;
250104;1600;70,215;
250104;1700;74,8175;
250104;1800;80,0325;
250104;1900;87,3;
250104;2000;91,15;
250104;2100;93,475;
250104;2200;98,4;
250104;2300;99,425;
250105;0000;97,125;
250105;0100;95,725;
250105;0200;100;
250105;0300;100;
250105;0400;100;
250105;0500;100;
250105;0600;98,875;
250105;0700;85,2675;
250105;0800;73,515;
250105;0900;60,98;
250105;1000;50,4625;
250105;1100;48,355;
250105;1200;46,3625;
250105;1300;44,1325;
250105;1400;50,4875;
250105;1500;48,8425;
250105;1600;49,31;
250105;1700;49,505;
250105;1800;52,1125;
250105;1900;58,345;
250105;2000;70,095;
250105;2100;77,775;
250105;2200;82,15;
250105;2300;85,675;
250106;0000;87,875;
250106;0100;87,675;
250106;0200;86,2;
250106;0300;87,6;
250106;0400;89,7;
250106;0500;90,95;
250106;0600;89,8;
250106;0700;85,9667;
250106;0800;87,2;
250106;0900;81,72;
250106;1000;76,415;
250106;1100;74,6949;
250106;1200;72,0275;
250106;1300;64,9425;
250106;1400;61,3975;
250106;1500;58,9725;
250106;1600;60,27;
250106;1700;62,1225;
250106;1800;67,0651;
250106;1900;75,9375;
250106;2000;84,725;
250106;2100;89,375;
250106;2200;89,65;
250106;2300;90,775;
250107;0000;90,9;
250107;0100;90,8667;
250107;0200;90,95;
250107;0300;92,35;
250107;0400;91,65;
250107;0500;91,25;
250107;0600;89,3;
250107;0700;81,7825;
250107;0800;75,725;
250107;0900;64,1775;
250107;1000;58,2425;
250107;1100;54,59;
250107;1200;52,205;
250107;1300;51,4775;
250107;1400;54,675;
250107;1500;54,0225;
250107;1600;52,6725;
250107;1700;51,1875;
250107;1800;52,28;
250107;1900;57,14;
250107;2000;63,9325;
250107;2100;65,4375;
250107;2200;68,3199;
250107;2300;74,6925;
250108;0000;75,4275;
250108;0100;76,0651;
250108;0200;80,7825;
250108;0300;82,3;
250108;0400;84,65;
250108;0500;87,675;
250108;0600;91,775;
250108;0700;78,8025;
250108;0800;64,6475;
250108;0900;62,2575;
250108;1000;57,0075;
250108;1100;51,64;
250108;1200;46,2975;
250108;1300;41,8125;
250108;1400;39,46;
250108;1500;44,5425;
250108;1600;44,4075;
250108;1700;41,185;
250108;1800;43,1575;
250108;1900;49,0775;
250108;2000;56,2825;
250108;2100;60,965;
250108;2200;65,1525;
250108;2300;71,1851;
250109;0000;76,135;
250109;0100;80,64;
250109;0200;84,175;
250109;0300;87,55;
250109;0400;90,325;
250109;0500;92,9;
250109;0600;88,325;
250109;0700;75,025;
250109;0800;65,11;
250109;0900;57,1875;
250109;1000;47,47;
250109;1100;47,83;
250109;1200;45,26;
250109;1300;41,125;
250109;1400;37,075;
250109;1500;36,41;
250109;1600;34,7633;
250109;1700;35,0133;
250109;1800;37,88;
250109;1900;41,2;
250109;2000;48,265;
250109;2100;51,5925;
250109;2200;56,415;
250109;2300;62,3725;
250110;0000;68,5825;
250110;0100;80,0026;
250110;0200;76,4575;
250110;0300;75,9675;
250110;0400;81,6375;
250110;0500;86,575;
250110;0600;77,8525;
250110;0700;61,705;
250110;0800;44,395;
250110;0900;40,585;
250110;1000;36,88;
250110;1100;38,3;
250110;1200;36,2275;
250110;1300;29,1675;
250110;1400;28,17;
250110;1500;24,8475;
250110;1600;22,52;
250110;1700;23,625;
250110;1800;22,6225;
250110;1900;24,6475;
250110;2000;30,2525;
250110;2100;34,8925;
250110;2200;44,3025;
250110;2300;51,49;
250111;0000;57,015;
250111;0100;64,1375;
250111;0200;74,5425;
250111;0300;76,11;
250111;0400;79,91;
250111;0500;83,7;
250111;0600;76,155;
250111;0700;58,3525;
250111;0800;38,735;
250111;0900;29,04;
250111;1000;25,4267;
250111;1100;29,965;
250111;1200;30,4425;
250111;1300;23,1975;
250111;1400;24,0625;
250111;1500;23,7725;
250111;1600;24,465;
250111;1700;29,81;
250111;1800;31,3075;
250111;1900;37,885;
250111;2000;49,2;
250111;2100;56,8825;
250111;2200;66,0875;
250111;2300;70,965;
250112;0000;75,045;
250112;0100;79,7725;
250112;0200;82,425;
250112;0300;83,4;
250112;0400;84,325;
250112;0500;85,95;
250112;0600;83,15;
250112;0700;76,4125;
250112;0800;68,2426;
250112;0900;61,3;
250112;1000;53,645;
250112;1100;46,62;
250112;1200;38,8025;
250112;1300;34,0275;
250112;1400;31,65;
250112;1500;30,86;
250112;1600;32,525;
250112;1700;31,9575;
250112;1800;44,4325;
250112;1900;52,765;
250112;2000;64,3225;
250112;2100;71,9926;
250112;2200;74,6875;
250112;2300;77,825;
250113;0000;80,145;
250113;0100;84,4;
250113;0200;79,37;
250113;0300;70,16;
250113;0400;69,33;
250113;0500;73,3824;
250113;0600;78,41;
250113;0700;64,4301;
250113;0800;57,0075;
250113;0900;49,3675;
250113;1000;43,3;
250113;1100;38,245;
250113;1200;40,4133;
250113;1300;38,42;
250113;1400;38,645;
250113;1500;35,18;
250113;1600;34,3525;
250113;1700;32,5575;
250113;1800;29,7225;
250113;1900;31,9925;
250113;2000;38,04;
250113;2100;42,235;
250113;2200;46,055;
250113;2300;50,26;
250114;0000;55,235;
250114;0100;59,9725;
250114;0200;59,04;
250114;0300;57,165;
250114;0400;64,4675;
250114;0500;70,4275;
250114;0600;69,7825;
250114;0700;59,7125;
250114;0800;47,62;
250114;0900;43,08;
250114;1000;38,155;
250114;1100;33,195;
250114;1200;32,7675;
250114;1300;29,62;
250114;1400;28,2875;
250114;1500;30,99;
250114;1600;33,1925;
250114;1700;43,9225;
250114;1800;45,4925;
250114;1900;46,415;
250114;2000;57,35;
250114;2100;63,3075;
250114;2200;66,9325;
250114;2300;67,4926;
250115;0000;74,3726;
250115;0100;79,205;
250115;0200;85,05;
250115;0300;91,425;
250115;0400;98,5;
250115;0500;100;
250115;0600;100;
250115;0700;100;
250115;0800;100;
250115;0900;100;
250115;1000;100;
250115;1100;100;
250115;1200;100;
250115;1300;100;
250115;1400;100;
250115;1500;100;
250115;1600;92,85;
250115;1700;85,95;
250115;1800;77,3051;
250115;1900;75,2725;
250115;2000;77,58;
250115;2100;80,3025;
250115;2200;79,87;
250115;2300;75,4325;
250116;0000;79,025;
250116;0100;80,675;
250116;0200;84,525;
250116;0300;84,1;
250116;0400;88,95;
250116;0500;92,275;
250116;0600;90,475;
250116;0700;67,1851;
250116;0800;55,3025;
250116;0900;53,4125;
250116;1000;48,3975;
250116;1100;44,1775;
250116;1200;43,34;
250116;1300;46,38;
250116;1400;47,22;
250116;1500;41,175;
250116;1600;41,6425;
250116;1700;41,2575;
250116;1800;41,95;
250116;1900;45,6125;
250116;2000;49,3425;
250116;2100;52,965;
250116;2200;55,73;
250116;2300;60,59;
250117;0000;64,5875;
250117;0100;71,97;
250117;0200;79,4025;
250117;0300;81,7775;
250117;0400;86,3;
250117;0500;92,275;
250117;0600;93,525;
250117;0700;79,1575;
250117;0800;65,9275;
250117;0900;56,395;
250117;1000;46,76;
250117;1100;46,105;
250117;1200;43,4675;
250117;1300;37,73;
250117;1400;33,7675;
250117;1500;33,3825;
250117;1600;33,095;
250117;1700;34;
250117;1800;35,46;
250117;1900;39,46;
250117;2000;46,285;
250117;2100;53,785;
250117;2200;55,9975;
250117;2300;62,425;
250118;0000;67,7032;
250118;0100;74,22;
250118;0200;81,825;
250118;0300;82,875;
250118;0400;84,7667;
250118;0500;83,375;
250118;0600;76,39;
250118;0700;70,8175;
250118;0800;49,37;
250118;0900;37,6975;
250118;1000;31,465;
250118;1100;25,88;
250118;1200;22,995;
250118;1300;29,655;
250118;1400;27,79;
250118;1500;30,1675;
250118;1600;32,93;
250118;1700;34,215;
250118;1800;36,7575;
250118;1900;41,1475;
250118;2000;50,3975;
250118;2100;54,2975;
250118;2200;60,86;
250118;2300;67,8225;
250119;0000;74,1901;
250119;0100;72,9125;
250119;0200;75,885;
250119;0300;78,4434;
250119;0400;74,6575;
250119;0500;77,8425;
250119;0600;80,875;
250119;0700;72,515;
250119;0800;53,27;
250119;0900;44,02;
250119;1000;37,94;
250119;1100;28,7975;
250119;1200;22,7325;
250119;1300;29,2675;
250119;1400;27,9533;
250119;1500;28,765;
250119;1600;29,1675;
250119;1700;33,0375;
250119;1800;36,845;
250119;1900;42,885;
250119;2000;51,4025;
250119;2100;59,5475;
250119;2200;59,48;
250119;2300;62,1075;
250120;0000;64,24;
250120;0100;68,5875;
250120;0200;72,3375;
250120;0300;79,045;
250120;0400;83,575;
250120;0500;85,825;
250120;0600;85,65;
250120;0700;75,3475;
250120;0800;72,6075;
250120;0900;60,38;
250120;1000;52,7075;
250120;1100;43,855;
250120;1200;42,015;
250120;1300;35,915;
250120;1400;32,775;
250120;1500;30,1125;
250120;1600;30,445;
250120;1700;36,3425;
250120;1800;50,7;
250120;1900;53,6825;
250120;2000;62,82;
250120;2100;70,03;
250120;2200;74,9875;
250120;2300;77,39;
250121;0000;81,1525;
250121;0100;84,6;
250121;0200;84,025;
250121;0300;89,375;
250121;0400;90,575;
250121;0500;89,3666;
250121;0600;87,325;
250121;0700;84,6;
250121;0800;69,7725;
250121;0900;71,0425;
250121;1000;63,01;
250121;1100;51,8925;
250121;1200;51,9625;
250121;1300;49,2825;
250121;1400;47,2125;
250121;1500;44,6;
250121;1600;46,3075;
250121;1700;49,1075;
250121;1800;50,03;
250121;1900;55,23;
250121;2000;63,495;
250121;2100;67,0601;
250121;2200;67,78;
250121;2300;68,98;
250122;0000;71,0699;
250122;0100;80,72;
250122;0200;80,3325;
250122;0300;84,8;
250122;0400;87,3;
250122;0500;88;
250122;0600;88,75;
250122;0700;78,8776;
250122;0800;69,4401;
250122;0900;60,89;
250122;1000;50,79;
250122;1100;48,5675;
250122;1200;50,72;
250122;1300;55,2625;
250122;1400;55,525;
250122;1500;53,8975;
250122;1600;52,48;
250122;1700;50,7375;
250122;1800;;
250122;1900;;
250122;2000;;
250122;2100;71,865;
250122;2200;79,615;
250122;2300;86,125;
250123;0000;87,925;
250123;0100;83,55;
250123;0200;80,9525;
250123;0300;80,9;
250123;0400;83,725;
250123;0500;83,925;
250123;0600;79,625;
250123;0700;75,2125;
250123;0800;74,3475;
250123;0900;75,425;
250123;1000;77,85;
250123;1100;75,9401;
250123;1200;66,075;
250123;1300;52,1275;
250123;1400;48,3075;
250123;1500;48,72;
250123;1600;43,8075;
250123;1700;44,8475;
250123;1800;46,5325;
250123;1900;52,325;
250123;2000;53,515;
250123;2100;57,735;
250123;2200;64,6425;
250123;2300;65,3101;
250124;0000;67,46;
250124;0100;75,3199;
250124;0200;84,975;
250124;0300;85,95;
250124;0400;87,925;
250124;0500;88,2;
250124;0600;85,675;
250124;0700;76,0125;
250124;0800;51,0425;
250124;0900;40,975;
250124;1000;34,4525;
250124;1100;27,905;
250124;1200;31,34;
250124;1300;33,6325;
250124;1400;36,56;
250124;1500;39,7925;
250124;1600;40,5025;
250124;1700;40,3225;
250124;1800;41,88;
250124;1900;44,3825;
250124;2000;52,97;
250124;2100;56,54;
250124;2200;62,8;
250124;2300;69,735;
250125;0000;71,27;
250125;0100;74,0699;
250125;0200;76,7125;
250125;0300;79,95;
250125;0400;87,1;
250125;0500;90,15;
250125;0600;89,8667;
250125;0700;78,38;
250125;0800;62,6067;
250125;0900;44,955;
250125;1000;36,215;
250125;1100;34,41;
250125;1200;34,845;
250125;1300;34,0775;
250125;1400;30,555;
250125;1500;31,2225;
250125;1600;29,3175;
250125;1700;30,2425;
250125;1800;32,3075;
250125;1900;38,485;
250125;2000;47,35;
250125;2100;52,5725;
250125;2200;57,5925;
250125;2300;68,715;
250126;0000;74,0551;
250126;0100;77,495;
250126;0200;83,675;
250126;0300;84,75;
250126;0400;86,125;
250126;0500;91,625;
250126;0600;93,6333;
250126;0700;80,65;
250126;0800;69,27;
250126;0900;55,7575;
250126;1000;48,0475;
250126;1100;43,8025;
250126;1200;50,07;
250126;1300;50,5075;
250126;1400;46,445;
250126;1500;45,43;
250126;1600;43,83;
250126;1700;45,8775;
250126;1800;48,9275;
250126;1900;56,535;
250126;2000;66,5225;
250126;2100;66,625;
250126;2200;71,55;
250126;2300;78,8225;
250127;0000;77,0625;
250127;0100;81,475;
250127;0200;85,7;
250127;0300;91,025;
250127;0400;94,7;
250127;0500;94,075;
250127;0600;73,355;
250127;0700;63,95;
250127;0800;52,0675;
250127;0900;47,3975;
250127;1000;44,4975;
250127;1100;38,6525;
250127;1200;41,815;
250127;1300;38,505;
250127;1400;36,52;
250127;1500;36,7075;
250127;1600;34,645;
250127;1700;34,0366;
250127;1800;35,3525;
250127;1900;43,02;
250127;2000;49,1975;
250127;2100;55,3875;
250127;2200;60,365;
250127;2300;54,6325;
250128;0000;53,5475;
250128;0100;53,0425;
250128;0200;64,66;
250128;0300;70,905;
250128;0400;74,035;
250128;0500;82,175;
250128;0600;79,535;
250128;0700;68,0026;
250128;0800;48,84;
250128;0900;40,67;
250128;1000;30,87;
250128;1100;25,6125;
250128;1200;21,4133;
250128;1300;21,5375;
250128;1400;21,34;
250128;1500;24,785;
250128;1600;25,365;
250128;1700;24,915;
250128;1800;27,5275;
250128;1900;36,19;
250128;2000;42,3675;
250128;2100;48,155;
250128;2200;59,325;
250128;2300;69,4275;
250129;0000;71,8475;
250129;0100;78,145;
250129;0200;71,5175;
250129;0300;74,41;
250129;0400;75,2;
250129;0500;75,855;
250129;0600;80,8275;
250129;0700;69,2275;
250129;0800;54,905;
250129;0900;42,3225;
250129;1000;34,0925;
250129;1100;37,7275;
250129;1200;33,26;
250129;1300;25,6525;
250129;1400;22,46;
250129;1500;24,225;
250129;1600;30,465;
250129;1700;34,5975;
250129;1800;38,165;
250129;1900;48,99;
250129;2000;60,5975;
250129;2100;60,8425;
250129;2200;65,13;
250129;2300;69,95;
250130;0000;72,9425;
250130;0100;78,3101;
250130;0200;80,48;
250130;0300;83,7;
250130;0400;88,725;
250130;0500;91,05;
250130;0600;89,225;
250130;0700;83;
250130;0800;73,4225;
250130;0900;62,2575;
250130;1000;52,84;
250130;1100;50,415;
250130;1200;47,3925;
250130;1300;49,1325;
250130;1400;52,15;
250130;1500;52,18;
250130;1600;48,3175;
250130;1700;52,49;
250130;1800;58,7;
250130;1900;59,865;
250130;2000;63,675;
250130;2100;66,5601;
250130;2200;68,6625;
250130;2300;72,0725;
250131;0000;81,125;
250131;0100;84,5;
250131;0200;88,025;
